museum,number,Genus,species,mass,wing,bill,tarsus,photo,age,5bar,growth,latitude,longitude,Elevation,Locality string,country,state,Sex,Day,Month,Year
LSUMZ,57760,Cyclarhis,gujanensis,,,,,,u,1.29,2.58,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,M,13,Jul,1961
LSUMZ,57758,Cyclarhis,gujanensis,,,,,,u,1.26,2.52,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,12,Jul,1961
LSUMZ,57751,Cyclarhis,gujanensis,,,,,,u,1.24,2.48,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,M,5,Jul,1961
LSUMZ,57762,Cyclarhis,gujanensis,,,,,,u,1.24,2.48,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,M,13,Jul,1961
LSUMZ,57761,Cyclarhis,gujanensis,,,,,,u,1.23,2.46,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,M,13,Jul,1961
LSUMZ,57783,Cyclarhis,gujanensis,,,,,,u,1.23,2.46,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,21,Jul,1961
LSUMZ,57764,Cyclarhis,gujanensis,,,,,,u,1.22,2.44,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,14,Jul,1961
LSUMZ,57771,Cyclarhis,gujanensis,,,,,,u,1.22,2.44,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,17,Jul,1961
LSUMZ,57755,Cyclarhis,gujanensis,,,,,,u,1.19,2.38,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,M,7,Jul,1961
LSUMZ,57756,Cyclarhis,gujanensis,,,,,,u,1.19,2.38,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,11,Jul,1961
